Propinsi,total_kejadian
JAWA BARAT,41926
JAWA TIMUR,36856
JAWA TENGAH,32761
DI. ACEH,29247
DKI JAKARTA,27312
SUMATERA UTARA,18565
PROBANTEN,14811
KALIMANTAN SELATAN,11662
SULAWESI SELATAN,11621
RIAU,11373
KALIMANTAN TIMUR,10271
KALIMANTAN TENGAH,9983
SUMATERA BARAT,9960
KALIMANTAN BARAT,8591
SUMATERA SELATAN,8364
LAMPUNG,6821
JAMBI,5657
SULAWESI TENGAH,3373
SULAWESI UTARA,3235
GORONTALO,3187
SULAWESI TENGGARA,3002
DAERAH ISTIMEWA YOGYAKARTA,2952
BENGKULU,2890
NUSA TENGGARA TIMUR,2742
NUSATENGGARA BARAT,2621
BALI,2122
IRIAN JAYA TIMUR,1149
IRIAN JAYA BARAT,754
MALUKU UTARA,709
MALUKU,441
IRIAN JAYA TENGAH,419
